date,hour,u10,v10,blh,sp,tp,z,z850,z500,t500,t2m,t850,u850,v850,u500,v500
2025-01-05,22:00,-0.288455,1.3269758,102.469315,99978.81,7.082688e-06,1411.3127,14206.816,54941.438,255.29669,276.4231,273.6358,4.6899357,6.7915883,16.469086,10.249402
2025-01-05,23:00,0.62294006,1.6880846,150.87584,100006.56,3.2553555e-06,1411.3127,14232.496,54939.316,254.88684,276.29932,273.12207,3.6261978,6.7080207,18.547989,10.400033
2025-01-06,00:00,0.19273472,-0.037010193,114.55748,99928.125,4.9692985e-06,1411.3127,14174.293,54850.695,254.4773,276.05322,272.9533,3.6292553,7.99567,18.522552,10.191849
2025-01-06,01:00,0.36196327,-0.06971073,100.59604,99898.5,4.2024667e-06,1411.3127,14156.852,54810.62,254.49063,276.09106,272.73474,3.2279835,8.098997,18.314835,12.468477
2025-01-06,02:00,0.39861107,0.062791824,91.12784,99843.06,4.7711237e-06,1411.3127,14128.361,54739.496,254.53378,276.23175,272.80524,3.1022043,8.314049,19.787354,13.991543
2025-01-06,03:00,0.23643208,0.087488174,96.035934,99784.19,1.83185e-05,1411.3127,14090.248,54676.887,254.45122,276.14362,272.90485,2.917737,7.902913,21.513016,14.715927
2025-01-06,04:00,-0.0218544,0.03748226,99.875244,99730.56,5.141081e-05,1411.3127,14053.203,54601.414,254.0928,276.10992,272.97717,2.3187008,7.2448664,22.425522,14.254483
2025-01-06,05:00,-0.24287987,0.11714649,88.17758,99672.625,0.00011197054,1411.3127,14013.635,54539.25,253.8139,276.17212,273.1718,1.5016298,7.3001933,21.421661,14.899481
2025-01-06,06:00,-0.056711197,0.12662888,74.74556,99636.5,0.00017136388,1411.3127,13992.383,54488.23,253.70694,276.12622,273.22064,1.0294905,6.9978294,21.608276,16.284704
2025-01-06,07:00,0.029577255,-0.0016565323,68.13422,99620.5,0.00032956907,1411.3127,13986.104,54443.676,253.9343,276.06915,273.4029,0.7571707,7.0411863,22.358337,18.811674
2025-01-06,08:00,-0.37016582,-0.0019702911,65.08223,99593.0,0.00040092424,1411.3127,13970.807,54391.496,253.90385,277.9088,273.5985,0.33983707,7.6532187,23.359283,19.367554
2025-01-06,09:00,-0.75110626,-0.068175316,87.0363,99538.0,0.00039965275,1411.3127,13937.285,54347.6,253.76224,277.70886,273.90613,-0.14446068,8.970799,23.10115,16.795593
2025-01-06,10:00,-0.94009495,0.71825576,119.19321,99580.56,0.00041816622,1411.3127,13901.512,54320.26,254.00877,276.2934,274.64478,-4.2059565,7.730599,24.688873,15.627639
2025-01-06,11:00,-0.18820286,1.3466554,171.5752,99535.19,0.00056339474,1411.3127,13855.789,54271.53,253.55829,276.29474,274.22485,-1.0881929,11.670964,22.5634,15.601543
2025-01-06,12:00,0.08418465,-0.44171333,101.73451,99506.31,0.0005948503,1411.3127,13825.988,54210.008,253.13419,276.44562,274.05597,2.0707884,11.677714,20.80278,14.968575
2025-01-06,13:00,-0.6901436,-0.8592758,154.6783,99409.25,0.00069326034,1411.3127,13765.014,54144.42,252.89351,276.65503,273.93414,3.2867708,12.194967,20.881668,14.999478
2025-01-06,14:00,-0.47100258,-0.5653086,145.16028,99363.06,0.0008218938,1411.3127,13749.711,54091.48,252.48364,276.61548,273.7362,3.5695477,12.089725,18.875092,15.045919
2025-01-06,15:00,-0.05344963,-0.3802662,76.32039,99358.5,0.0008065464,1411.3127,13758.385,54057.953,252.08641,276.77356,273.57,2.745326,11.118477,17.47528,15.902972
2025-01-06,16:00,0.16744709,-0.49677753,44.85118,99340.81,0.00087445276,1411.3127,13761.887,54029.375,251.8402,276.91882,273.91736,2.1520462,10.439946,17.755096,16.55217
2025-01-06,17:00,0.26379395,-0.63125134,40.69432,99336.125,0.0009206125,1411.3127,13768.758,54002.938,251.58188,276.91382,274.1443,1.6423845,9.415027,18.37436,16.657707
2025-01-06,18:00,0.435812,-0.8031473,42.193405,99355.0,0.00084975566,1411.3127,13794.4,54001.332,251.53851,276.922,274.22064,0.9295082,8.599119,18.216705,17.158173
2025-01-06,19:00,0.35646588,-0.8482437,42.133057,99326.69,0.0005565179,1411.3127,13781.082,53966.477,251.52199,276.94006,274.2293,0.14856529,8.322391,16.948214,17.628067
2025-01-06,20:00,0.20186073,-0.75969696,39.311935,99306.5,0.00071739964,1411.3127,13774.113,53932.766,251.40707,276.91455,274.34717,-0.23388004,8.40312,16.116512,17.558105
2025-01-06,21:00,0.14367545,-0.69152164,35.6158,99267.19,0.00074087223,1411.3127,13753.566,53896.625,251.26459,276.87988,274.5346,-0.6379061,8.451609,16.216034,17.289373
2025-01-06,22:00,0.68690586,-0.45387077,71.91057,99312.44,0.00067439454,1411.3127,13700.176,53883.11,251.10951,276.72772,273.24426,-0.14393711,7.872103,14.637413,15.223459
