Date,Hour,R_S_M,G_S_M,B_S_M,R_G_M,G_G_M,B_G_M,PM25,T2M,U_10,V_10,TP,SP,GP,BLH,T_500,U_500,V_500,GP_500,T_850,U_850,V_850,GP_850
10/02/2025,14:00,131.5711071,164.2646512,191.85629,40.98508021,50.16870625,56.72639167,27.219687,283.34875,0.30387038,-0.25534153,7.64E-07,100723.5,1411.3127,414.09702,249.57162,11.498592,-3.5562096,55107.633,274.20282,0.569067,2.2427626,14968.23
10/02/2025,15:00,135.8832183,170.0955051,198.9135053,43.4117375,53.57798646,61.29938542,19.05378,283.3739,0.044068158,0.003851771,0,100722,1411.3127,264.93216,249.51236,11.197617,-3.401619,55115.61,274.0765,0.8290949,2.004245,14967.578
10/02/2025,16:00,127.1467902,162.6834532,195.2739244,48.02909792,57.56583646,64.38189479,20.974154,282.85986,-0.025495052,0.76285064,0,100728.06,1411.3127,90.925705,249.44397,10.86359,-2.9660263,55118.883,273.94012,1.2023716,2.1074016,14973.5625
17/02/2025,18:00,122.3255426,159.4755717,193.2900545,46.23553333,53.84715208,58.85988125,16.54089,277.24658,-0.9597931,0.22747326,0,100314.81,1411.3127,101.152466,249.43639,9.691991,-12.390162,54516.086,270.97113,-1.5012369,0.521204,14416.965
17/02/2025,19:00,84.30527616,106.6253173,121.8392781,64.95901146,77.59768854,73.54900938,25.768703,277.08948,-1.3114433,-0.44041252,0,100371.81,1411.3127,74.07895,249.45805,9.598486,-12.229215,54532.516,270.57684,-1.5368032,0.57283497,14450.555
17/02/2025,20:00,82.93449734,105.3067587,121.0274394,65.46434167,78.6124875,76.10562604,28.273441,277.08264,-1.2581539,-0.98204803,0,100421.31,1411.3127,73.053604,249.33675,9.223203,-11.894065,54546.523,270.46954,-0.98801327,0.25353527,14481.199
17/02/2025,21:00,84.00814317,105.9606795,123.5321076,66.30051667,79.47272917,77.93944375,31.082441,276.93945,-1.2889252,-1.1673584,3.81E-07,100463.44,1411.3127,79.71881,249.32379,9.026467,-11.728918,54577.996,270.54034,-0.39903164,0.02012539,14509.135
17/02/2025,22:00,83.90088905,105.0693169,123.8518835,67.11150104,80.37871042,80.52257396,21.75771,276.61707,-1.1556826,-1.5489988,3.81E-07,100457.94,1411.3127,220.92134,249.34497,9.554135,-11.524361,54577.535,271.1891,0.99123126,0.52743244,14475.048
17/02/2025,23:00,83.82681928,105.245,124.69375,67.28640625,81.14448646,81.53195938,17.252962,276.31726,-0.4363575,-1.0992928,0,100464.31,1411.3127,54.924286,249.7036,9.19738,-12.230924,54584.887,269.21765,0.15616411,-0.65851974,14467.703
18/02/2025,04:00,85.42384327,106.724719,127.9242648,67.91420729,81.64231771,83.82578542,24.424858,276.7743,-0.66686726,-1.1949768,1.14E-06,100381.06,1411.3127,39.608,251.21124,10.467671,-15.363739,54633.168,271.7569,0.91477686,-2.2367287,14412.522
